t   p   q   AA   aa   Aa
0        0.5014        0.4986        1261        1247        2492
1        0.5005        0.4995        1262        1257        2481
2        0.5096        0.4904        1302        1206        2492
3        0.515        0.485        1324        1174        2502
4        0.5109        0.4891        1337        1228        2435
5        0.5117        0.4883        1284        1167        2549
6        0.5097        0.4903        1306        1209        2485
7        0.5276        0.4724        1380        1104        2516
8        0.5287        0.4713        1388        1101        2511
9        0.5265        0.4735        1360        1095        2545
10        0.5006        0.4994        1244        1238        2518
11        0.4963        0.5037        1235        1272        2493
12        0.5014        0.4986        1269        1255        2476
13        0.501        0.499        1228        1218        2554
14        0.4913        0.5087        1219        1306        2475
15        0.5003        0.4997        1250        1247        2503
16        0.4925        0.5075        1187        1262        2551
17        0.4927        0.5073        1211        1284        2505
18        0.48        0.52        1162        1362        2476
19        0.4885        0.5115        1166        1281        2553
20        0.4837        0.5163        1159        1322        2519
21        0.4903        0.5097        1187        1284        2529
22        0.4857        0.5143        1204        1347        2449
23        0.4888        0.5112        1191        1303        2506
24        0.4966        0.5034        1267        1301        2432
25        0.5084        0.4916        1328        1244        2428
26        0.5109        0.4891        1343        1234        2423
27        0.5224        0.4776        1368        1144        2488
28        0.5238        0.4762        1343        1105        2552
29        0.5276        0.4724        1370        1094        2536
30        0.5118        0.4882        1298        1180        2522
31        0.5168        0.4832        1314        1146        2540
32        0.504        0.496        1259        1219        2522
33        0.4969        0.5031        1227        1258        2515
34        0.4958        0.5042        1221        1263        2516
35        0.5049        0.4951        1257        1208        2535
36        0.5048        0.4952        1261        1213        2526
37        0.5002        0.4998        1236        1234        2530
38        0.5135        0.4865        1335        1200        2465
39        0.5117        0.4883        1297        1180        2523
40        0.5095        0.4905        1290        1195        2515
41        0.5228        0.4772        1376        1148        2476
42        0.5223        0.4777        1328        1105        2567
43        0.5231        0.4769        1354        1123        2523
44        0.5256        0.4744        1392        1136        2472
45        0.5224        0.4776        1376        1152        2472
46        0.5399        0.4601        1453        1054        2493
47        0.5446        0.4554        1473        1027        2500
48        0.5565        0.4435        1544        979        2477
49        0.558        0.442        1569        989        2442
50        0.5449        0.4551        1478        1029        2493
51        0.5581        0.4419        1558        977        2465
52        0.5676        0.4324        1625        949        2426
53        0.5717        0.4283        1620        903        2477
54        0.592        0.408        1788        868        2344
55        0.5997        0.4003        1794        797        2409
56        0.6097        0.3903        1843        746        2411
57        0.6104        0.3896        1872        768        2360
58        0.6092        0.3908        1861        769        2370
59        0.6323        0.3677        2002        679        2319
60        0.6351        0.3649        2030        679        2291
61        0.6313        0.3687        1961        648        2391
62        0.6333        0.3667        2002        669        2329
63        0.6261        0.3739        1947        686        2367
64        0.6335        0.3665        1998        663        2339
65        0.6321        0.3679        2003        682        2315
66        0.6172        0.3828        1927        755        2318
67        0.624        0.376        1942        702        2356
68        0.6188        0.3812        1886        698        2416
69        0.619        0.381        1930        740        2330
70        0.6273        0.3727        1979        706        2315
71        0.6242        0.3758        1944        702        2354
72        0.6289        0.3711        1993        704        2303
73        0.6488        0.3512        2090        602        2308
74        0.643        0.357        2048        618        2334
75        0.6374        0.3626        2017        643        2340
76        0.6355        0.3645        1990        635        2375
77        0.6081        0.3919        1841        760        2399
78        0.6031        0.3969        1812        781        2407
79        0.6068        0.3932        1829        761        2410
80        0.6021        0.3979        1832        811        2357
81        0.6042        0.3958        1832        790        2378
82        0.5842        0.4158        1739        897        2364
83        0.5764        0.4236        1676        912        2412
84        0.5785        0.4215        1696        911        2393
85        0.5796        0.4204        1653        857        2490
86        0.5804        0.4196        1684        880        2436
87        0.5725        0.4275        1673        948        2379
88        0.5914        0.4086        1756        842        2402
89        0.5901        0.4099        1726        825        2449
90        0.5841        0.4159        1715        874        2411
91        0.5924        0.4076        1756        832        2412
92        0.6014        0.3986        1820        806        2374
93        0.6006        0.3994        1811        805        2384
94        0.6145        0.3855        1874        729        2397
95        0.6045        0.3955        1849        804        2347
96        0.6036        0.3964        1800        764        2436
97        0.6153        0.3847        1892        739        2369
98        0.6058        0.3942        1843        785        2372
99        0.6083        0.3917        1826        743        2431
100        0.6122        0.3878        1870        748        2382
101        0.6181        0.3819        1910        729        2361
102        0.6287        0.3713        1973        686        2341
103        0.6268        0.3732        1962        694        2344
104        0.6269        0.3731        1953        684        2363
105        0.6243        0.3757        1957        714        2329
106        0.6152        0.3848        1898        746        2356
107        0.6184        0.3816        1898        714        2388
108        0.6255        0.3745        1940        685        2375
109        0.6231        0.3769        1931        700        2369
110        0.6207        0.3793        1909        702        2389
111        0.6165        0.3835        1896        731        2373
112        0.6106        0.3894        1872        766        2362
113        0.6188        0.3812        1889        701        2410
114        0.6216        0.3784        1931        715        2354
115        0.6242        0.3758        1951        709        2340
116        0.6005        0.3995        1799        794        2407
117        0.6076        0.3924        1858        782        2360
118        0.6138        0.3862        1858        720        2422
119        0.6111        0.3889        1867        756        2377
120        0.6035        0.3965        1827        792        2381
121        0.6064        0.3936        1830        766        2404
122        0.6165        0.3835        1901        736        2363
123        0.619        0.381        1892        702        2406
124        0.6119        0.3881        1903        784        2313
125        0.62        0.38        1939        739        2322
126        0.6282        0.3718        1980        698        2322
127        0.6243        0.3757        1968        725        2307
128        0.6251        0.3749        1993        742        2265
129        0.6265        0.3735        1967        702        2331
130        0.6252        0.3748        1976        724        2300
131        0.641        0.359        2045        635        2320
132        0.6482        0.3518        2107        625        2268
133        0.6562        0.3438        2163        601        2236
134        0.6638        0.3362        2195        557        2248
135        0.6636        0.3364        2188        552        2260
136        0.6662        0.3338        2184        522        2294
137        0.6636        0.3364        2217        581        2202
138        0.661        0.339        2177        567        2256
139        0.66        0.34        2161        561        2278
140        0.6642        0.3358        2215        573        2212
141        0.6756        0.3244        2296        540        2164
142        0.6742        0.3258        2256        514        2230
143        0.6751        0.3249        2278        527        2195
144        0.6788        0.3212        2283        495        2222
145        0.6846        0.3154        2338        492        2170
146        0.696        0.304        2429        469        2102
147        0.7107        0.2893        2504        397        2099
148        0.6941        0.3059        2392        451        2157
149        0.6996        0.3004        2454        458        2088
150        0.7045        0.2955        2474        429        2097
151        0.6945        0.3055        2418        473        2109
152        0.6955        0.3045        2414        459        2127
153        0.7004        0.2996        2441        437        2122
154        0.7035        0.2965        2493        458        2049
155        0.6936        0.3064        2420        484        2096
156        0.6923        0.3077        2413        490        2097
157        0.6937        0.3063        2412        475        2113
158        0.7025        0.2975        2467        442        2091
159        0.7139        0.2861        2547        408        2045
160        0.7095        0.2905        2529        434        2037
161        0.7236        0.2764        2606        370        2024
162        0.7289        0.2711        2655        366        1979
163        0.728        0.272        2657        377        1966
164        0.7378        0.2622        2719        341        1940
165        0.7454        0.2546        2776        322        1902
166        0.7509        0.2491        2851        342        1807
167        0.7618        0.2382        2907        289        1804
168        0.7678        0.2322        2942        264        1794
169        0.7711        0.2289        2986        275        1739
170        0.7853        0.2147        3099        246        1655
171        0.7748        0.2252        2988        240        1772
172        0.7747        0.2253        3010        263        1727
173        0.7747        0.2253        2984        237        1779
174        0.7719        0.2281        2985        266        1749
175        0.7645        0.2355        2927        282        1791
176        0.7616        0.2384        2894        278        1828
177        0.7557        0.2443        2865        308        1827
178        0.7446        0.2554        2759        313        1928
179        0.7434        0.2566        2763        329        1908
180        0.7337        0.2663        2695        358        1947
181        0.7274        0.2726        2637        363        2000
182        0.7312        0.2688        2664        352        1984
183        0.7213        0.2787        2584        371        2045
