     t           p           q          AA          aa          Aa
     0      0.9065           0.0935           4117.0             52.0            831.0
     1      0.9038           0.0962           4088.0             50.0            862.0
     2      0.9004           0.0996           4036.0             32.0            932.0
     3      0.9030           0.0970           4076.0             46.0            878.0
     4      0.9052           0.0948           4091.0             39.0            870.0
     5      0.9046           0.0954           4097.0             51.0            852.0
     6      0.9052           0.0948           4100.0             48.0            852.0
     7      0.8988           0.1012           4030.0             42.0            928.0
     8      0.8966           0.1034           4015.0             49.0            936.0
     9      0.8976           0.1024           4027.0             51.0            922.0
    10      0.8962           0.1038           4015.0             53.0            932.0
    11      0.8989           0.1011           4048.0             59.0            893.0
    12      0.8978           0.1022           4031.0             53.0            916.0
    13      0.8952           0.1048           3995.0             43.0            962.0
    14      0.8898           0.1102           3974.0             76.0            950.0
    15      0.8884           0.1116           3953.0             69.0            978.0
    16      0.8881           0.1119           3934.0             53.0           1013.0
    17      0.8858           0.1142           3919.0             61.0           1020.0
    18      0.8857           0.1143           3919.0             62.0           1019.0
    19      0.8899           0.1101           3957.0             58.0            985.0
    20      0.8890           0.1110           3953.0             63.0            984.0
    21      0.8895           0.1105           3968.0             73.0            959.0
    22      0.8868           0.1132           3929.0             61.0           1010.0
    23      0.8875           0.1125           3952.0             77.0            971.0
    24      0.8876           0.1124           3939.0             63.0            998.0
    25      0.8849           0.1151           3912.0             63.0           1025.0
    26      0.8853           0.1147           3913.0             60.0           1027.0
    27      0.8784           0.1216           3853.0             69.0           1078.0
    28      0.8812           0.1188           3882.0             70.0           1048.0
    29      0.8798           0.1202           3872.0             74.0           1054.0
    30      0.8803           0.1197           3873.0             70.0           1057.0
    31      0.8780           0.1220           3863.0             83.0           1054.0
    32      0.8793           0.1207           3865.0             72.0           1063.0
    33      0.8822           0.1178           3898.0             76.0           1026.0
    34      0.8829           0.1171           3895.0             66.0           1039.0
    35      0.8854           0.1146           3918.0             64.0           1018.0
    36      0.8873           0.1127           3936.0             63.0           1001.0
    37      0.8920           0.1080           3976.0             56.0            968.0
    38      0.8975           0.1025           4036.0             61.0            903.0
    39      0.9008           0.0992           4073.0             65.0            862.0
