     t           p           q          AA          aa          Aa
     0      0.5011           0.4989           2503.0           2481.0           5016.0
     1      0.4987           0.5014           2478.0           2505.0           5017.0
     2      0.4958           0.5043           2472.0           2557.0           4971.0
     3      0.4976           0.5024           2491.0           2539.0           4970.0
     4      0.4966           0.5034           2511.0           2579.0           4910.0
     5      0.4987           0.5014           2490.0           2517.0           4993.0
     6      0.5029           0.4972           2553.0           2496.0           4951.0
     7      0.5037           0.4963           2542.0           2468.0           4990.0
     8      0.5001           0.5000           2499.0           2498.0           5003.0
     9      0.5001           0.5000           2491.0           2490.0           5019.0
    10      0.5047           0.4953           2558.0           2464.0           4978.0
    11      0.5032           0.4969           2546.0           2483.0           4971.0
    12      0.5026           0.4975           2552.0           2501.0           4947.0
    13      0.4996           0.5005           2539.0           2548.0           4913.0
    14      0.4982           0.5018           2469.0           2505.0           5026.0
    15      0.5026           0.4975           2533.0           2482.0           4985.0
    16      0.5046           0.4954           2543.0           2451.0           5006.0
    17      0.5075           0.4925           2534.0           2384.0           5082.0
    18      0.5050           0.4950           2562.0           2462.0           4976.0
    19      0.5053           0.4948           2517.0           2412.0           5071.0
    20      0.5109           0.4891           2594.0           2376.0           5030.0
    21      0.5128           0.4873           2654.0           2399.0           4947.0
    22      0.5095           0.4905           2609.0           2419.0           4972.0
    23      0.5168           0.4833           2684.0           2349.0           4967.0
    24      0.5199           0.4802           2666.0           2269.0           5065.0
    25      0.5172           0.4828           2700.0           2356.0           4944.0
    26      0.5127           0.4873           2664.0           2410.0           4926.0
    27      0.5140           0.4861           2624.0           2345.0           5031.0
    28      0.5101           0.4899           2579.0           2377.0           5044.0
    29      0.5154           0.4847           2645.0           2338.0           5017.0
    30      0.5082           0.4918           2611.0           2447.0           4942.0
    31      0.5040           0.4960           2535.0           2455.0           5010.0
    32      0.5091           0.4910           2606.0           2425.0           4969.0
    33      0.5162           0.4839           2667.0           2344.0           4989.0
    34      0.5162           0.4838           2671.0           2347.0           4982.0
    35      0.5160           0.4840           2627.0           2307.0           5066.0
    36      0.5147           0.4853           2646.0           2352.0           5002.0
    37      0.5194           0.4807           2707.0           2320.0           4973.0
    38      0.5227           0.4773           2719.0           2265.0           5016.0
    39      0.5238           0.4762           2759.0           2283.0           4958.0
    40      0.5211           0.4789           2708.0           2286.0           5006.0
    41      0.5209           0.4792           2703.0           2286.0           5011.0
    42      0.5202           0.4799           2723.0           2320.0           4957.0
    43      0.5187           0.4813           2713.0           2339.0           4948.0
    44      0.5223           0.4777           2680.0           2234.0           5086.0
    45      0.5207           0.4794           2761.0           2348.0           4891.0
    46      0.5146           0.4855           2641.0           2350.0           5009.0
    47      0.5142           0.4858           2662.0           2378.0           4960.0
    48      0.5130           0.4870           2606.0           2346.0           5048.0
    49      0.5159           0.4842           2649.0           2332.0           5019.0
    50      0.5135           0.4865           2637.0           2367.0           4996.0
    51      0.5158           0.4842           2647.0           2331.0           5022.0
    52      0.5094           0.4907           2638.0           2451.0           4911.0
    53      0.5096           0.4904           2589.0           2397.0           5014.0
    54      0.5114           0.4887           2606.0           2379.0           5015.0
    55      0.5112           0.4888           2631.0           2407.0           4962.0
    56      0.5117           0.4883           2602.0           2368.0           5030.0
    57      0.5139           0.4861           2651.0           2373.0           4976.0
    58      0.5139           0.4862           2620.0           2343.0           5037.0
    59      0.5114           0.4887           2639.0           2412.0           4949.0
    60      0.5152           0.4849           2629.0           2326.0           5045.0
    61      0.5111           0.4889           2587.0           2365.0           5048.0
    62      0.5097           0.4904           2605.0           2412.0           4983.0
    63      0.5147           0.4854           2674.0           2381.0           4945.0
    64      0.5166           0.4834           2690.0           2358.0           4952.0
    65      0.5135           0.4865           2659.0           2389.0           4952.0
    66      0.5129           0.4871           2634.0           2376.0           4990.0
    67      0.5139           0.4862           2629.0           2352.0           5019.0
    68      0.5162           0.4838           2710.0           2386.0           4904.0
    69      0.5123           0.4877           2653.0           2407.0           4940.0
    70      0.5126           0.4875           2612.0           2361.0           5027.0
    71      0.5116           0.4885           2625.0           2394.0           4981.0
    72      0.5160           0.4840           2693.0           2373.0           4934.0
    73      0.5170           0.4831           2629.0           2290.0           5081.0
    74      0.5210           0.4790           2698.0           2278.0           5024.0
    75      0.5193           0.4808           2715.0           2330.0           4955.0
    76      0.5169           0.4831           2691.0           2353.0           4956.0
    77      0.5147           0.4854           2640.0           2347.0           5013.0
    78      0.5045           0.4955           2536.0           2446.0           5018.0
    79      0.5082           0.4918           2545.0           2381.0           5074.0
    80      0.5117           0.4883           2668.0           2434.0           4898.0
    81      0.5043           0.4957           2536.0           2450.0           5014.0
    82      0.5051           0.4949           2531.0           2429.0           5040.0
    83      0.5013           0.4988           2523.0           2498.0           4979.0
    84      0.4965           0.5036           2469.0           2540.0           4991.0
    85      0.4952           0.5048           2485.0           2581.0           4934.0
    86      0.4976           0.5024           2493.0           2541.0           4966.0
    87      0.4913           0.5088           2434.0           2609.0           4957.0
    88      0.4934           0.5066           2403.0           2535.0           5062.0
    89      0.4928           0.5073           2420.0           2565.0           5015.0
    90      0.4866           0.5134           2375.0           2643.0           4982.0
    91      0.4887           0.5114           2405.0           2632.0           4963.0
    92      0.4876           0.5124           2394.0           2642.0           4964.0
    93      0.4893           0.5107           2403.0           2617.0           4980.0
    94      0.4913           0.5087           2441.0           2615.0           4944.0
    95      0.4883           0.5118           2393.0           2628.0           4979.0
    96      0.4888           0.5113           2386.0           2611.0           5003.0
    97      0.4891           0.5110           2415.0           2634.0           4951.0
    98      0.4884           0.5116           2412.0           2644.0           4944.0
    99      0.4916           0.5085           2382.0           2551.0           5067.0
   100      0.4853           0.5147           2359.0           2653.0           4988.0
   101      0.4839           0.5162           2358.0           2681.0           4961.0
   102      0.4847           0.5154           2347.0           2654.0           4999.0
   103      0.4838           0.5162           2343.0           2667.0           4990.0
   104      0.4774           0.5227           2291.0           2744.0           4965.0
   105      0.4807           0.5194           2269.0           2656.0           5075.0
   106      0.4752           0.5248           2210.0           2706.0           5084.0
   107      0.4722           0.5278           2240.0           2796.0           4964.0
   108      0.4698           0.5302           2251.0           2855.0           4894.0
   109      0.4761           0.5239           2288.0           2766.0           4946.0
   110      0.4770           0.5230           2254.0           2714.0           5032.0
   111      0.4748           0.5253           2305.0           2810.0           4885.0
   112      0.4823           0.5178           2303.0           2658.0           5039.0
   113      0.4826           0.5174           2283.0           2631.0           5086.0
   114      0.4903           0.5097           2417.0           2611.0           4972.0
   115      0.4848           0.5152           2345.0           2649.0           5006.0
   116      0.4839           0.5161           2359.0           2681.0           4960.0
   117      0.4876           0.5124           2382.0           2630.0           4988.0
   118      0.4861           0.5140           2320.0           2599.0           5081.0
   119      0.4859           0.5142           2385.0           2668.0           4947.0
   120      0.4724           0.5277           2185.0           2738.0           5077.0
   121      0.4762           0.5239           2306.0           2783.0           4911.0
   122      0.4755           0.5246           2279.0           2770.0           4951.0
   123      0.4833           0.5168           2329.0           2664.0           5007.0
   124      0.4800           0.5200           2283.0           2683.0           5034.0
   125      0.4777           0.5224           2264.0           2711.0           5025.0
   126      0.4881           0.5120           2377.0           2616.0           5007.0
   127      0.4960           0.5040           2467.0           2547.0           4986.0
   128      0.4973           0.5028           2477.0           2532.0           4991.0
   129      0.4964           0.5037           2477.0           2550.0           4973.0
   130      0.4971           0.5029           2474.0           2532.0           4994.0
   131      0.4938           0.5063           2429.0           2554.0           5017.0
   132      0.4947           0.5053           2480.0           2586.0           4934.0
   133      0.4895           0.5106           2334.0           2545.0           5121.0
   134      0.4823           0.5177           2332.0           2686.0           4982.0
   135      0.4771           0.5230           2254.0           2713.0           5033.0
   136      0.4770           0.5231           2288.0           2749.0           4963.0
   137      0.4747           0.5253           2264.0           2770.0           4966.0
   138      0.4768           0.5232           2275.0           2739.0           4986.0
   139      0.4784           0.5217           2300.0           2733.0           4967.0
   140      0.4802           0.5198           2304.0           2700.0           4996.0
   141      0.4823           0.5178           2289.0           2644.0           5067.0
   142      0.4863           0.5137           2354.0           2628.0           5018.0
   143      0.4854           0.5146           2385.0           2677.0           4938.0
   144      0.4879           0.5122           2372.0           2615.0           5013.0
   145      0.4865           0.5135           2363.0           2633.0           5004.0
   146      0.4844           0.5157           2366.0           2679.0           4955.0
   147      0.4850           0.5151           2371.0           2672.0           4957.0
   148      0.4909           0.5092           2402.0           2585.0           5013.0
   149      0.4956           0.5044           2423.0           2511.0           5066.0
   150      0.4980           0.5021           2493.0           2534.0           4973.0
   151      0.5025           0.4975           2535.0           2485.0           4980.0
   152      0.5063           0.4938           2553.0           2428.0           5019.0
   153      0.4994           0.5006           2498.0           2510.0           4992.0
   154      0.5007           0.4994           2503.0           2490.0           5007.0
   155      0.5008           0.4993           2514.0           2499.0           4987.0
   156      0.5022           0.4979           2524.0           2481.0           4995.0
   157      0.5013           0.4987           2468.0           2442.0           5090.0
   158      0.4992           0.5008           2515.0           2531.0           4954.0
   159      0.5028           0.4972           2522.0           2466.0           5012.0
   160      0.5024           0.4976           2507.0           2459.0           5034.0
   161      0.5025           0.4975           2495.0           2445.0           5060.0
   162      0.4984           0.5016           2477.0           2509.0           5014.0
   163      0.4971           0.5029           2476.0           2534.0           4990.0
   164      0.4948           0.5053           2430.0           2535.0           5035.0
   165      0.4897           0.5103           2392.0           2598.0           5010.0
   166      0.4898           0.5102           2377.0           2581.0           5042.0
   167      0.4941           0.5059           2400.0           2518.0           5082.0
   168      0.4968           0.5033           2458.0           2523.0           5019.0
   169      0.4941           0.5059           2397.0           2515.0           5088.0
   170      0.4889           0.5112           2383.0           2606.0           5011.0
   171      0.4871           0.5129           2382.0           2640.0           4978.0
   172      0.4882           0.5119           2408.0           2645.0           4947.0
   173      0.4848           0.5152           2335.0           2639.0           5026.0
   174      0.4883           0.5118           2405.0           2640.0           4955.0
   175      0.4878           0.5123           2356.0           2601.0           5043.0
   176      0.4946           0.5055           2481.0           2590.0           4929.0
   177      0.4897           0.5103           2387.0           2593.0           5020.0
   178      0.4948           0.5053           2446.0           2551.0           5003.0
   179      0.4922           0.5079           2382.0           2539.0           5079.0
   180      0.4941           0.5060           2401.0           2520.0           5079.0
   181      0.4913           0.5087           2416.0           2590.0           4994.0
   182      0.4930           0.5071           2438.0           2579.0           4983.0
   183      0.4892           0.5108           2354.0           2570.0           5076.0
   184      0.4938           0.5063           2443.0           2568.0           4989.0
   185      0.4969           0.5032           2453.0           2516.0           5031.0
   186      0.4979           0.5021           2475.0           2517.0           5008.0
   187      0.4996           0.5005           2446.0           2455.0           5099.0
   188      0.5061           0.4939           2575.0           2453.0           4972.0
   189      0.5114           0.4887           2652.0           2425.0           4923.0
   190      0.5097           0.4903           2584.0           2390.0           5026.0
   191      0.5077           0.4923           2549.0           2395.0           5056.0
   192      0.5126           0.4874           2621.0           2369.0           5010.0
   193      0.5096           0.4905           2607.0           2416.0           4977.0
   194      0.5106           0.4894           2590.0           2378.0           5032.0
   195      0.5161           0.4840           2640.0           2319.0           5041.0
   196      0.5138           0.4862           2607.0           2331.0           5062.0
   197      0.5152           0.4849           2656.0           2353.0           4991.0
   198      0.5162           0.4838           2658.0           2334.0           5008.0
   199      0.5195           0.4805           2682.0           2292.0           5026.0
   200      0.5151           0.4850           2600.0           2299.0           5101.0
   201      0.5182           0.4819           2658.0           2295.0           5047.0
   202      0.5161           0.4839           2699.0           2377.0           4924.0
   203      0.5179           0.4822           2671.0           2314.0           5015.0
   204      0.5159           0.4842           2698.0           2381.0           4921.0
   205      0.5177           0.4823           2697.0           2343.0           4960.0
   206      0.5236           0.4764           2697.0           2225.0           5078.0
   207      0.5224           0.4776           2724.0           2276.0           5000.0
