     t           p           q          AA          aa          Aa
     0      0.6638           0.3362           4913.0              0.0           10087.0
     1      0.7517           0.2483           7552.0              0.0           7448.0
     2      0.8014           0.1986           9043.0              0.0           5957.0
     3      0.8327           0.1673           9981.0              0.0           5019.0
     4      0.8589           0.1411           10767.0              0.0           4233.0
     5      0.8748           0.1252           11245.0              0.0           3755.0
     6      0.8909           0.1091           11727.0              0.0           3273.0
     7      0.9009           0.0991           12026.0              0.0           2974.0
     8      0.9091           0.0909           12273.0              0.0           2727.0
     9      0.9144           0.0856           12433.0              0.0           2567.0
    10      0.9203           0.0797           12609.0              0.0           2391.0
    11      0.9282           0.0718           12846.0              0.0           2154.0
    12      0.9313           0.0687           12938.0              0.0           2062.0
    13      0.9357           0.0643           13071.0              0.0           1929.0
    14      0.9411           0.0589           13232.0              0.0           1768.0
    15      0.9463           0.0537           13389.0              0.0           1611.0
    16      0.9498           0.0502           13495.0              0.0           1505.0
    17      0.9507           0.0493           13520.0              0.0           1480.0
    18      0.9530           0.0470           13590.0              0.0           1410.0
    19      0.9556           0.0444           13667.0              0.0           1333.0
    20      0.9574           0.0426           13721.0              0.0           1279.0
    21      0.9585           0.0415           13754.0              0.0           1246.0
    22      0.9604           0.0396           13811.0              0.0           1189.0
    23      0.9613           0.0387           13838.0              0.0           1162.0
    24      0.9626           0.0374           13877.0              0.0           1123.0
    25      0.9638           0.0362           13915.0              0.0           1085.0
    26      0.9634           0.0366           13901.0              0.0           1099.0
    27      0.9650           0.0350           13950.0              0.0           1050.0
    28      0.9656           0.0344           13969.0              0.0           1031.0
    29      0.9676           0.0324           14029.0              0.0            971.0
    30      0.9693           0.0307           14078.0              0.0            922.0
    31      0.9703           0.0297           14108.0              0.0            892.0
    32      0.9715           0.0285           14144.0              0.0            856.0
    33      0.9728           0.0272           14185.0              0.0            815.0
    34      0.9728           0.0272           14185.0              0.0            815.0
    35      0.9723           0.0277           14170.0              0.0            830.0
    36      0.9741           0.0259           14224.0              0.0            776.0
    37      0.9747           0.0253           14240.0              0.0            760.0
    38      0.9754           0.0246           14262.0              0.0            738.0
    39      0.9749           0.0251           14247.0              0.0            753.0
    40      0.9756           0.0244           14269.0              0.0            731.0
    41      0.9779           0.0221           14336.0              0.0            664.0
    42      0.9766           0.0234           14297.0              0.0            703.0
    43      0.9770           0.0230           14311.0              0.0            689.0
    44      0.9766           0.0234           14299.0              0.0            701.0
